	Gene	wt	00-06	06-12	12-18	18-24	24-30	30-36
YAL063C	FLO9	6.05	3.79	13.48	5.85	4.52	0.23	2.4
YAL060W	BDH1	16.17	36.31	48.3	6.38	4.24	10.94	18.07
YAL059W	ECM1	12.43	13.85	29.2	10.14	9.65	8.25	12.37
YAL058W	CNE1	23.46	27.43	39	16.11	11.48	11.21	13.75
YAL056W	GPB2	9.78	7.18	41.63	8.4	6.16	8.23	11.28
YAL055W	PEX22	9.66	6.86	29.17	6.98	9.98	6.69	8.4
YAL054C	ACS1	15.81	20.59	78.94	2.32	4.75	20.43	24.69
YAL053W	FLC2	10.58	9.14	27.5	3.75	2.73	4.5	6.33
YAL051W	OAF1	5.51	5.11	20.97	7.29	3.51	2.38	5.04
YAL049C	YAL049C	18.33	16.88	55.98	18.92	12.35	7.68	8.23
YAL046C	YAL046C	23.04	30.63	13.68	6.09	1.33	5.33	4.7
YAL044C	GCV3	103.33	73.76	82.79	18.22	15.47	11.77	34.75
YAL043C	PTA1	39.22	37.62	94.66	13.03	18.89	18.58	37.51
YAL042W	ERV46	41.44	68.5	67.56	19.33	19.83	28.04	35.6
YAL041W	CDC24	7.33	7.56	20.91	3.91	2	4.02	8.37
YAL039C	CYC3	5.48	9.61	22.05	6.91	14.23	10.88	12.96
YAL038W	CDC19	66.95	51.36	-293.8	59.48	0.23	6.4	1239.29
YAL036C	RBG1	20.12	18.44	93.27	36.51	20.37	34.94	46.78
YAL035W	FUN12	27.31	35.32	33.03	17.19	14.92	15.87	14.35
YAL034W-A	MTW1	4.82	6.74	37.62	17.37	3.85	0.23	4.02
YAL034C	FUN19	4.22	5.57	14.15	0.23	2.44	5.96	8.23
YAL033W	POP5	15.37	15.69	48.87	19.15	20.49	7.73	14.4
YAL032C	PRP45	7.1	7.46	18.31	6.51	0.23	0.23	3.73
YAL031C	GIP4	3.86	6.39	17.38	3.7	0.23	0.23	3.03
YAL030W	SNC1	33.42	41.77	39.19	11.93	10.38	6.17	14.21
YAL029C	MYO4	13.57	13.89	32.66	11.71	8.1	7.1	11.63
YAL027W	YAL027W	5.75	5.83	53.42	7.21	5.47	3.98	4.76
YAL026C	DRS2	14.61	24.66	21.05	7.75	20.06	20.1	6.95
YAL025C	MAK16	6.79	5.78	38.53	22.37	15.17	17.17	13.55
YAL024C	LTE1	6.91	5.09	42.7	14.69	8.09	0.23	2.55
YAL023C	PMT2	33.61	38.37	50.77	14.51	10.92	15.66	15.67
YAL022C	FUN26	17.22	20.53	58.45	29.39	20.93	19.72	23.89
YAL020C	ATS1	11.76	12.53	74.33	37.29	29.67	16.64	17.31
YAL019W	FUN30	13.71	16.19	30.32	12.66	13.1	11.99	5.54
YAL017W	PSK1	11.08	11.02	30.44	11.53	1.11	4.16	7.51
YAL016W	TPD3	19.88	21.17	161.24	19.78	7.53	14.34	30.63
YAL015C	NTG1	15.5	20.01	42.73	4.39	9.85	14.28	18.2
YAL014C	SYN8	9.93	11.39	44.79	7.85	6.36	9.14	9.41
YAL013W	DEP1	5.31	8.4	26.35	5.07	17.69	23.93	10.13
YAL012W	CYS3	35.97	33.65	143.66	34.07	17.66	18.62	106.06
YAL011W	SWC3	7.24	6.18	28.67	2.81	3.63	7.21	7.09
YAL010C	MDM10	6.35	7.32	20.31	0.65	2.55	5.29	6.68
YAL009W	SPO7	17.99	18.73	64.58	9.69	21.2	26.39	20.14
YAL008W	FUN14	23.48	23.47	49.23	11.26	26.12	29.52	20.39
YAL007C	ERP2	41.44	38.17	54	23.1	15.27	19.13	20.86
YAL005C	SSA1	127.65	352.87	32.57	9.99	0.23	7.54	69.26
YAL003W	EFB1	37.46	33.88	68.82	26.49	3.75	7.41	62.25
YAL002W	VPS8	5.11	5.57	18.73	0.23	0.23	1.14	5.62
YAL001C	TFC3	10.35	14.11	22.09	3.16	12.5	13.51	8.06
YAR002W	NUP60	10.01	12.67	17.15	5.29	7.99	8.34	10.88
YAR002C-A	ERP1	73.09	53.81	52.84	23.74	20.48	17.2	35.76
YAR003W	SWD1	9.6	12.17	287.28	17.46	47.57	44.58	25.06
YAR007C	RFA1	14.85	18.92	37.2	10.76	8.28	12.51	10.54
YAR008W	SEN34	6.66	8.72	39.99	13.29	13.1	5.83	5.29
YAR014C	BUD14	8.89	11.78	38.01	19.94	14.2	11.62	9.68
YAR015W	ADE1	27.2	29.72	44.27	26.55	31.86	18.74	23.62
YAR018C	KIN3	10.29	13.68	96.63	37.97	35.88	55.06	18.27
YAR019C	CDC15	7.03	7.08	19.55	8.29	5.34	1.49	4.54
YAR027W	UIP3	9.96	15.63	55.73	8.38	7.17	8.62	9.72
YAR031W	PRM9	177.59	370.77	-200.2	142.07	17.06	44.52	68.37
YAR033W	MST28	12.92	13.45	63.2	17.1	8.91	17.48	19.71
YAR042W	SWH1	8.35	7.34	26.26	13.02	19.41	3.92	5.26
YAR071W	PHO11	5.08	12.08	35.7	16.96	11.65	6.94	3.61
YBL105C	PKC1	7.97	10.61	26.35	12.55	14.91	9.86	5.31
YBL103C	RTG3	6.27	6.02	48.43	14.35	2.67	4.32	6.39
YBL102W	SFT2	23.9	27.09	51.14	20.51	16.47	14.09	12.94
YBL101C	ECM21	10.89	10.87	31.9	5.97	5.81	5.39	7.03
YBL099W	ATP1	34.65	50.48	64.17	22.63	8.67	15.57	31.59
YBL098W	BNA4	73.76	62.14	428.34	47.82	33.97	42.11	47.43
YBL093C	ROX3	10.22	8.94	14.74	2.08	5.81	8.45	12.28
YBL091C-A	SCS22	22.93	27.48	16.63	3.36	4.85	5.64	5.75
YBL091C	MAP2	65.18	69.97	289	38.83	35.32	48.36	145.52
YBL090W	MRP21	5.8	9.93	21.15	3.88	6.48	2.47	2.44
YBL089W	AVT5	6.73	8.1	38.14	8.86	5.38	4.1	5.48
YBL088C	TEL1	9.12	6.47	15.74	4.23	7.47	0.23	0.23
YBL085W	BOI1	11.3	9.41	36.51	8.42	1.64	4.63	7.1
YBL084C	CDC27	5.33	6.78	44.25	18.07	8.19	2.36	4.23
YBL082C	ALG3	16.59	20.79	49.63	25.98	26.18	21.83	15.41
YBL079W	NUP170	12.47	15	23.49	8.82	5.1	6.06	7.73
YBL078C	ATG8	0.23	5.63	19.61	5.11	3.8	1.5	0.23
YBL076C	ILS1	17.02	29.03	63.88	21.33	19.81	26.15	28.25
YBL075C	SSA3	4.65	4.73	19.47	2.14	4.12	5.93	10.25
YBL069W	AST1	9.78	10.97	24.71	6.61	31.49	19.32	9.59
YBL068W	PRS4	16.1	18.84	46.68	20.63	41.07	27.96	18.68
YBL067C	UBP13	18.81	20.27	39.16	12.9	16.11	11.35	7.25
YBL064C	PRX1	27.73	55.71	83.35	2.2	7.3	12.22	32.24
YBL063W	KIP1	8.29	6.47	29.84	4.08	6.92	3.45	3.08
YBL061C	SKT5	6.78	12.32	29.68	15.68	11	11.56	12.38
YBL059C-A	YBL059C-A	4.68	9.18	5.55	0.23	4.06	1.9	0.23
YBL058W	SHP1	14.81	25.52	26.05	8.27	13.86	12.85	17.77
YBL057C	PTH2	23.88	23.39	42.67	9.87	13.1	11.76	17.31
YBL056W	PTC3	18.17	18.59	724.23	24.16	16.44	15.73	14.04
YBL055C	YBL055C	9.36	11.61	35.4	18.27	20.37	33.15	31.04
YBL054W	YBL054W	7	7.73	37.81	18.15	16.41	13.69	20.61
YBL052C	SAS3	8.91	11.79	20.07	11.25	8.96	9.45	4.12
YBL051C	PIN4	11.32	11.05	52.06	9.33	3.03	6.04	12.48
YBL050W	SEC17	21.12	34.77	41.79	14.86	16	12.8	23.76
YBL047C	EDE1	28.75	21.27	39.62	13.09	7.22	6.81	12
YBL046W	PSY4	6.42	7.36	43.27	15.21	9.37	9.16	7.61
YBL045C	COR1	21.15	28.3	114.68	19.67	13.75	20.95	35.18
YBL042C	FUI1	7.05	8.97	46.04	5.82	4.9	10.08	9.95
YBL041W	PRE7	13.21	13.75	36.39	8.92	9.25	10.44	11.63
YBL040C	ERD2	19.91	18.72	70.67	19.13	7.86	10.94	13.12
YBL039C	URA7	27.14	25.05	58.24	31.71	17.84	33.34	51.59
YBL038W	MRPL16	6.64	6.84	15.24	2.33	6.07	4.45	7.15
YBL037W	APL3	8.99	6.82	21.84	5.8	5.03	2.55	6.03
YBL036C	YBL036C	17.05	17.01	66.31	22.5	22.45	16.98	14.28
YBL035C	POL12	7.71	8.63	25.36	18.33	12.56	8.78	7.72
YBL034C	STU1	8.63	6.4	20.37	4.73	2.89	1.71	7.26
YBL033C	RIB1	7.91	7.77	27.23	2.82	5.15	11.09	9.74
YBL032W	HEK2	31.31	38.71	102.72	19.09	18.8	29.82	30.71
YBL031W	SHE1	5.32	5.31	21.04	5.19	2.36	1.92	5.25
YBL030C	PET9	36.18	30.75	153.84	26.27	13.01	20.13	35.88
YBL026W	LSM2	13.85	11.37	16.94	8.5	8.13	5.16	7.15
YBL024W	NCL1	18.75	24.91	31.87	13.17	9.27	12.36	14.56
YBL023C	MCM2	9.4	10.97	28.42	16.35	16.55	6.56	7.27
YBL022C	PIM1	17.63	19.48	46.76	11.22	7.78	7.51	8.16
YBL021C	HAP3	2.03	3.88	18.51	5.08	6.98	5.29	2
YBL020W	RFT1	14.25	20.15	40.83	13.84	4.64	5.59	7.4
YBL018C	POP8	11.37	12.66	35.14	16.22	24.54	8.71	5.29
YBL017C	PEP1	16.54	24.48	22.67	12.6	10.47	7.9	8.77
YBL016W	FUS3	6.96	5.74	71.44	18.67	18.96	21.64	27.13
YBL015W	ACH1	11.37	16.91	71.98	11.14	7.58	14.38	20.72
YBL014C	RRN6	6.54	6.62	18.87	2.89	3.53	5.89	6.3
YBL011W	SCT1	9.15	12.1	39.35	7.15	1.79	3.14	5.59
YBL008W	HIR1	8.52	8.02	26.45	14.96	5.53	0.23	4.08
YBL007C	SLA1	33.71	27.48	71.87	15.27	10.98	17.47	13.75
YBL006C	LDB7	7.77	8.58	51.19	19.52	11.29	14.63	6.83
YBL005W	PDR3	8.07	12.24	17.75	1.76	4.23	4.19	2.08
YBL004W	UTP20	12.73	19.85	10.94	5.83	17.32	20.78	7.47
YBL003C	HTA2	17.35	15.7	43.3	19.47	4.14	1.36	9.11
YBL002W	HTB2	12.25	12.9	20.99	10.59	5.47	2.43	5.54
YBL001C	ECM15	52.27	73.84	20.09	9.13	18.81	15.83	20.57
YBR001C	NTH2	11.45	12.48	36.98	8.23	8.82	9.33	8.98
YBR002C	RER2	4.65	6.69	40	10.19	5.82	12.7	5.13
YBR003W	COQ1	10.32	16.4	35.92	3.8	4.09	5.54	7.29
YBR004C	GPI18	9.36	8.13	32.28	4.11	0.23	1.94	6.09
YBR005W	RCR1	6.13	6.3	25.3	3.27	7.06	9.68	13.23
YBR006W	UGA2	20.63	27.8	218.31	12.12	14.02	15.08	17.14
YBR008C	FLR1	4.72	5.9	8.04	3.12	4.28	3	3.31
YBR009C	HHF1	12.18	10.12	32.22	11.58	0.23	0.23	8.29
YBR010W	HHT1	11.9	11.74	24.5	8.48	0.23	0.23	7.91
YBR011C	IPP1	120.33	82.13	116.74	28.92	7.17	9.82	99.38
YBR014C	GRX6	21.1	17.64	94.81	18.95	11.6	7.21	16.36
YBR015C	MNN2	18.04	31.92	37.97	19.07	13.08	20.89	11.32
YBR016W	YBR016W	12.79	7.37	19.33	6.73	0.23	0.23	7
YBR017C	KAP104	16.12	17.91	32.96	13.71	8.21	10.17	14.08
YBR021W	FUR4	5.2	5.95	30.7	0.23	2.3	8.77	10.76
YBR022W	POA1	10.72	12.98	55.19	21.77	9.88	4.65	7.31
YBR023C	CHS3	16.5	16.61	43.4	12.53	13.65	9.76	12.1
YBR024W	SCO2	10.7	12.91	64.14	11.55	7.43	9.36	12.52
YBR025C	OLA1	42.2	61.2	83.95	27.81	19.48	27.68	46.6
YBR026C	ETR1	36.7	39.4	106.54	25.94	26.73	39.03	37.97
YBR029C	CDS1	9.72	13.15	52.38	13.54	9.23	11.43	9.35
YBR030W	YBR030W	5.22	8.82	33.44	7.39	10.26	7.29	10.29
YBR034C	HMT1	9.14	11.68	38.29	15.53	9.85	10.58	6.71
YBR035C	PDX3	32	40.06	35.18	12.31	19.54	17.56	21.47
YBR036C	CSG2	13.2	18.38	33.05	14.63	9.73	12.96	15.21
YBR037C	SCO1	8.33	11.89	32.8	3.12	7.55	6.68	6.98
YBR038W	CHS2	9.4	10.98	39.48	3.74	7.09	11.45	10.95
YBR039W	ATP3	23.02	30.79	86.1	24.66	18.54	17.34	18.84
YBR041W	FAT1	20.66	31.95	36.95	22.43	7.46	7.19	8.67
YBR042C	CST26	15.46	22.37	47.89	18.25	32.75	19.18	9.43
YBR043C	QDR3	7.29	10.55	30.1	12.37	9.93	6.24	8.1
YBR044C	TCM62	7.74	9.28	19.31	4.12	2.24	6.71	6.11
YBR046C	ZTA1	55.67	56.25	93.45	29.72	44.44	73.37	22.27
YBR049C	REB1	7.9	10.31	36.94	6.75	13.92	24.97	12.85
YBR052C	RFS1	43.42	44.41	59.58	10.35	4.27	6.55	22.33
YBR055C	PRP6	12.96	13.08	30.15	6.61	7.2	9.77	8.5
YBR057C	MUM2	6.81	10.41	35.51	12.84	4.9	5.59	5.25
YBR058C	UBP14	12.17	11.88	35.52	13.89	17.59	18.5	16.73
YBR058C-A	TSC3	19.77	18.08	24.98	11.53	4.54	5.25	7.86
YBR059C	AKL1	26.11	29.12	47.53	19.89	10.51	10.73	15.49
YBR060C	ORC2	10.67	11.31	38.78	12.9	6.03	3.99	9.89
YBR061C	TRM7	10.16	10.9	45.85	20.43	21.45	15.11	11.18
YBR066C	NRG2	4.6	3.12	30.3	4.03	0.23	0.23	4.82
YBR067C	TIP1	28.75	28.5	41	20.02	13.74	17.1	54.94
YBR068C	BAP2	14.78	13.78	116.21	23.07	4.41	6.07	19.31
YBR069C	TAT1	14.38	11.88	87.86	26.22	13.03	12.31	12.49
YBR070C	ALG14	20.55	15.8	55.58	10.59	7.27	4.81	10.17
YBR072W	HSP26	230.39	268.09	48.19	0.23	5.29	11.88	54
YBR073W	RDH54	15.75	13.27	30.98	10.85	8.93	7.66	11.95
YBR077C	SLM4	5.16	7.27	43.68	8.95	19.43	13.13	7.56
YBR078W	ECM33	37.55	41.72	84.01	22.33	10.17	14.85	22.34
YBR079C	RPG1	23.38	24.17	40.82	16.75	12.02	12.45	16.89
YBR080C	SEC18	14.77	23.61	29.96	14.17	17.6	12.31	9.3
YBR081C	SPT7	9.43	9.84	24.52	3.74	5.49	5.37	7.37
YBR082C	UBC4	21.56	22.62	27.91	13.53	8.03	6.92	21.6
YBR083W	TEC1	6.2	8.36	30.06	11.59	7.33	4.97	3.35
YBR084W	MIS1	45.04	38.34	36.29	16.09	13.47	23.79	48.4
YBR085W	AAC3	13.62	16.04	28.51	9.46	3.74	5.17	10.42
YBR086C	IST2	26.75	26.49	34.86	12.56	11.78	13.82	17.58
YBR087W	RFC5	12.21	18.46	55.03	25.38	23.99	17.99	11.96
YBR088C	POL30	11.64	17.33	13.7	4.25	2.42	2.3	5.31
YBR092C	PHO3	17.57	19.75	83.09	24.62	26.09	17.93	24.1
YBR093C	PHO5	5.26	11.7	18.16	5.52	9.56	6.89	2.71
YBR094W	PBY1	14.44	16.51	49.4	19.26	14.86	13.51	18.23
YBR095C	RXT2	3.85	7.77	50.23	18.81	9.04	8.59	4.63
YBR097W	VPS15	10.45	7.69	36.57	15.6	9.53	6.25	7.45
YBR101C	FES1	6.41	10.36	17.53	1.24	1.31	5.56	18.19
YBR102C	EXO84	9.29	9.63	44.87	13.35	10.9	9.59	9.8
YBR103W	SIF2	8.31	8	43.13	8.99	14.47	13.32	7.41
YBR104W	YMC2	11.61	13.95	46.99	15.76	20.6	22.22	16.57
YBR105C	VID24	5.26	5.73	11.83	0.23	5.06	6.55	9.83
YBR106W	PHO88	43.54	43.11	44.84	17.94	15.83	15.35	25.43
YBR107C	IML3	7.47	9.92	38.24	9.39	7.45	16.04	8.4
YBR109C	CMD1	32.9	32.7	52.06	20.59	13.84	12.43	34.62
YBR110W	ALG1	17.65	18.01	71.95	10.02	8.25	9.93	15.53
YBR111C	YSA1	50.96	82.67	51.41	19.24	22.79	20.46	18.96
YBR111W-A	SUS1	7.02	9.01	15.44	7.96	0.23	0.8	1.78
YBR112C	CYC8	5.52	9.97	14.18	2.65	2.16	4.17	3.6
YBR115C	LYS2	27.43	25.27	34.57	13.32	11.15	11.52	15.81
YBR118W	TEF2	61.48	50.55	-278.4	65.42	0.23	5.52	357.29
YBR119W	MUD1	5.27	6.95	15.42	4.93	3.05	6.01	4.96
YBR120C	CBP6	4.81	5.24	15.53	1.77	0.23	0.23	0.23
YBR121C	GRS1	47.13	57.7	77.86	26.47	14.22	19.44	33.88
YBR122C	MRPL36	7.18	8.89	19.86	2.8	0.23	0.23	6.13
YBR123C	TFC1	12.11	14.51	44.93	9.36	7.57	8.63	14.8
YBR125C	PTC4	7.56	9.8	53.16	13.06	7.28	9.4	9.21
YBR126C	TPS1	18.89	23.66	55.56	4.61	2.21	8.24	48.76
YBR127C	VMA2	116.22	102.42	208.16	59	18.82	30.82	299.38
YBR129C	OPY1	11.59	9.99	227.18	11.79	0.23	6.45	7.68
YBR130C	SHE3	10.04	12.33	41.82	11.25	6.5	6.99	10.99
YBR131W	CCZ1	7.14	10.45	29.32	1.49	1.7	7.44	7.07
YBR132C	AGP2	8.96	5.91	62.93	21.8	8.87	5.28	9.98
YBR133C	HSL7	10.17	9.93	28.64	9.37	9.68	6.3	6.77
YBR135W	CKS1	11.78	7.6	21.43	8.39	5.36	5.62	7.43
YBR136W	MEC1	11.39	9.49	21.14	11	13.51	3.62	9.17
YBR139W	YBR139W	27.93	34.66	63.1	19.74	11.62	7.63	10.7
YBR140C	IRA1	14.97	15.66	19.06	7.22	19.89	7.58	6.22
YBR142W	MAK5	13.33	20.15	20.81	13.09	19.54	26.6	16.24
YBR143C	SUP45	30.56	34.96	108.92	23.19	16.09	20.37	26.83
YBR145W	ADH5	13.77	19.85	52.44	7.97	10.06	11.56	8.95
YBR146W	MRPS9	10.2	13.96	22.8	3.3	3.46	4.93	6.01
YBR147W	YBR147W	28.84	21.81	28.82	0.23	0.23	4.75	6.65
YBR149W	ARA1	42.75	63.1	38.05	13.28	15.8	19.35	23.19
YBR150C	TBS1	4.53	6.3	19.86	0.23	1.43	1.93	5.19
YBR151W	APD1	34.67	34.41	86.72	10.08	14.31	17.19	25.65
YBR153W	RIB7	3.71	5.09	24.56	2.33	2.11	3.42	2.3
YBR154C	RPB5	12.32	12.36	41.16	14.21	9.2	12.45	14.84
YBR155W	CNS1	18.25	18.08	59.87	21.26	31.37	25.16	16.45
YBR157C	ICS2	4.4	4.25	36.87	1.55	0.56	6.13	3.46
YBR158W	AMN1	10.67	14.73	35.32	14.72	3.77	4.05	5.43
YBR159W	IFA38	36.46	37.15	118.41	26.43	13.05	16.88	24.93
YBR160W	CDC28	6.6	8.66	22.13	4.7	7.9	9.79	9.37
YBR161W	CSH1	4.37	7.62	15.48	0.23	0.23	5.39	8.15
YBR162C	TOS1	40.4	37.88	58.52	23.03	10.65	20.01	26.82
YBR162W-A	YSY6	9.74	11.22	8.39	1.67	2.75	2.25	3.93
YBR163W	DEM1	8.23	12.16	27.52	3.27	3.65	5.48	7.34
YBR164C	ARL1	16.34	17.9	43.79	8.21	13.72	8.41	19.3
YBR165W	UBS1	3.24	8	6.77	0.23	3.26	5.3	5.74
YBR166C	TYR1	13.26	12.4	33.78	8.87	6.23	7.21	15.58
YBR167C	POP7	6.31	6.65	14.78	0.23	0.23	1.11	1.59
YBR168W	PEX32	7.98	9.81	36.11	3.06	10.43	23.64	9.34
YBR169C	SSE2	17.27	25.05	34.12	0.23	0.23	9.08	30.6
YBR170C	NPL4	9.69	10.66	76.93	14.07	11.32	16.97	13.44
YBR171W	SEC66	17.45	19.2	48.27	15.55	15.14	19.04	13.64
YBR172C	SMY2	6.13	6.31	20.9	0.23	0.23	2.7	3.16
YBR173C	UMP1	9.87	9.23	11.41	3.55	8.16	7.49	7.66
YBR175W	SWD3	7.94	9.42	40.09	5.81	9	7.29	8.9
YBR176W	ECM31	9.59	9.95	56.13	7.97	9.87	10.61	9.31
YBR177C	EHT1	18.47	19.34	71.5	18.68	17.14	19.28	30.47
YBR179C	FZO1	5.23	9.4	15.21	0.23	5.19	7.33	3.69
YBR185C	MBA1	4.94	7.74	48.52	6.2	6.15	5.39	4.59
YBR188C	NTC20	5.58	6.66	7.93	0.23	5.62	2.46	4.03
YBR192W	RIM2	5.9	7.02	35	3.76	6.99	11.81	4.43
YBR193C	MED8	5.48	9.35	18.46	5.39	17.33	18.93	8.5
YBR195C	MSI1	5.78	5.79	31.89	5.02	2.46	2.17	7.9
YBR196C	PGI1	58.79	57.67	-1617.61	53	5.03	12.4	173.99
YBR198C	TAF5	10.95	10.4	54.51	6.56	6.86	11.16	15.44
YBR199W	KTR4	18.13	23.49	58.49	8.29	7.19	10.35	19.66
YBR200W	BEM1	8.23	12.42	35.23	22.71	14.39	14.47	10.87
YBR201W	DER1	5.37	7.5	45.18	16.22	10.23	3.15	5.42
YBR202W	MCM7	6.19	8.76	21.24	8.49	11.19	12.06	8.27
YBR205W	KTR3	35.21	46.29	41.39	23.02	15.71	15.88	18.59
YBR207W	FTH1	9.32	10.78	72.43	22.85	9.5	12.17	8.64
YBR210W	ERV15	12.71	15.23	20.64	5.5	8.15	6.6	6.6
YBR211C	AME1	6.11	6.16	16.69	0.23	1.45	3.12	3.74
YBR212W	NGR1	4.97	8.64	14.4	0.23	1.79	4.65	6.06
YBR213W	MET8	4.14	11.01	20.05	16.45	3.62	3.68	3.33
YBR214W	SDS24	9.79	10.06	74.08	2.4	2.6	15.36	29.73
YBR215W	HPC2	5.97	8.77	30.2	15.44	13.1	8.34	7.86
YBR216C	YBP1	4.38	8.49	53.14	29.3	23.72	8.97	7.12
YBR217W	ATG12	5.49	7	144.87	39.18	7.31	4.72	7.6
YBR218C	PYC2	46.95	43.81	59.98	18.33	10.45	14.48	31.03
YBR221C	PDB1	70.87	70.22	156.46	33.81	19.33	24.39	58.77
YBR222C	PCS60	20.64	21.31	68.88	18.28	6.64	7.82	15.06
YBR227C	MCX1	9.84	11.99	31.74	15.21	13.21	8.5	7.77
YBR228W	SLX1	6.29	7.21	37.95	20.52	8.73	3.7	5.25
YBR229C	ROT2	32.64	37.64	26.08	10.73	7.91	10.81	9.31
YBR230C	OM14	11.33	14.48	15.7	0.23	0.23	0.69	10.22
YBR231C	SWC5	8.17	6.44	35.39	16.01	7.12	6.88	11.05
YBR233W	PBP2	12.68	16.87	69.04	25.38	14.67	12.35	13.86
YBR234C	ARC40	43.25	42.98	94.39	36.18	17.15	19.49	34.62
YBR236C	ABD1	15.1	16.56	74.55	24.07	23.4	23.13	17.91
YBR237W	PRP5	6.62	8.33	32.66	7.88	5.38	8.08	9.18
YBR243C	ALG7	22.71	24.39	150.19	29.76	46.88	44.93	26.88
YBR244W	GPX2	12.53	15.12	34.13	20.18	20.27	11.21	8.23
YBR245C	ISW1	21.18	17.09	51.38	14.21	29.21	19.51	17
YBR247C	ENP1	11.78	11.53	77.07	33.48	24.22	32.85	26.1
YBR248C	HIS7	15.57	18.26	51.92	13.41	20.28	16.26	18.63
YBR249C	ARO4	77.42	63.31	-639.26	66.07	61.56	68.69	351.04
YBR251W	MRPS5	17.63	16.63	53.9	7.43	13.57	10.84	11.87
YBR252W	DUT1	17.38	14.91	19.42	4.85	4.5	5.9	9.73
YBR253W	SRB6	7.81	7.18	9.08	0.23	0.23	1.15	5.46
YBR254C	TRS20	13.24	9.25	56.13	14.24	16.63	12.28	16.19
YBR255W	YBR255W	8.49	8.32	27.62	2.12	3.94	6.44	7.67
YBR256C	RIB5	27.23	22.15	113.94	20.17	23.64	22.02	27.98
YBR257W	POP4	6.76	5.97	22.01	1.75	0.23	6.13	6.12
YBR260C	RGD1	9.29	16.06	19	2.97	9.22	11.41	7.4
YBR261C	YBR261C	23.92	30.38	42.4	16.03	47.28	50.29	31.14
YBR262C	FMP51	5.91	5.65	11.6	0.23	0.23	0.23	0.23
YBR263W	SHM1	67.9	64.97	57.2	20.87	15.25	23.23	65.35
YBR264C	YPT10	11.65	13.79	20.19	3.61	8.25	10.46	10.78
YBR265W	TSC10	14.66	17.98	31.21	6.5	15.16	16.54	15.45
YBR267W	REI1	11.84	13.35	25.79	9.92	12.69	9.69	10.01
YBR268W	MRPL37	7.97	8.73	13.14	6.11	6.21	2.98	1.62
YBR272C	HSM3	15.13	17.47	58.11	12.83	7.86	12.88	11.54
YBR273C	UBX7	14.44	19.59	63.92	23.93	14.78	21.36	20.91
YBR274W	CHK1	10.1	14.49	53.37	10.59	10.07	11.41	9.93
YBR275C	RIF1	9.25	8.95	19.56	13.34	12.57	7.66	7.4
YBR276C	PPS1	20.69	16.44	41.31	8.6	3.5	7.58	15.63
YBR278W	DPB3	9.44	10.02	34.06	9.3	11.63	10.52	9.11
YBR279W	PAF1	7.96	11.67	39.89	10.29	4.26	11.07	10.97
YBR281C	DUG2	8.58	11.28	27.75	6.75	4.21	7.49	8.92
YBR282W	MRPL27	7.28	7.79	28.21	3.28	0.75	0.23	4.41
YBR283C	SSH1	34.44	35.84	86.84	25.64	9.09	11.29	25.88
YBR286W	APE3	75.12	71.83	73.76	26.53	6.67	9.25	34.07
YBR288C	APM3	16.77	16.19	73.52	28.72	8.56	5.75	16.09
YBR289W	SNF5	6.36	4.54	36.01	11.77	2.92	0.23	11.66
YBR290W	BSD2	5.58	8.08	28.67	2.67	3.51	6.68	7.75
YBR291C	CTP1	7.26	7.42	37.72	5.28	9.18	5.3	8.63
YBR293W	VBA2	8.4	10.36	30.27	3.33	4.24	8.08	11.22
YBR295W	PCA1	5.9	7.63	21.08	5.73	3.47	4.35	6.9
YBR302C	COS2	20.35	32.28	21.73	9.53	6.38	5.39	11.08
YCL063W	VAC17	5.06	5.62	49.69	22.93	11.37	1.75	6.9
YCL061C	MRC1	6.74	8.59	18.37	6.77	9.01	2.73	2.51
YCL059C	KRR1	20.24	20.03	98.41	38.68	53	52.98	117.96
YCL057W	PRD1	35.7	31.06	73.08	17.88	14.96	16.28	14.62
YCL055W	KAR4	6.84	9.18	28.12	6.91	11.34	12.36	9.09
YCL054W	SPB1	12.45	15.57	47.23	27.13	29.37	34.86	19.81
YCL052C	PBN1	12.46	17.64	58.22	29.65	17.87	12.84	11.8
YCL051W	LRE1	6.38	8.73	29.71	10.01	2.31	3.89	4.11
YCL050C	APA1	38.45	32.8	110.73	26.91	16.64	17.72	51.46
YCL045C	YCL045C	35.8	32.72	49.67	12.5	4.41	7.75	19.25
YCL044C	MGR1	5.13	5.33	27.48	2.62	5.05	11.61	11.63
YCL043C	PDI1	55.78	57.71	129.55	24.34	6.83	13.4	36.87
YCL040W	GLK1	45.71	69.06	61.55	7.58	2.28	12.08	61.12
YCL039W	GID7	10.26	9.53	46.68	3.83	6.22	7.8	8.83
YCL038C	ATG22	17.03	13.48	63.88	30.98	17.21	9.05	11.65
YCL037C	SRO9	16.9	21.65	43.82	22.26	16.51	56.68	41.4
YCL036W	GFD2	7.43	7.36	36.97	24.55	17.35	18.11	75.6
YCL035C	GRX1	28.05	27.29	28.15	4.91	7.16	5.88	21.08
YCL034W	LSB5	11.63	19.93	36.02	12.56	25.9	84	38.93
YCL033C	YCL033C	75.08	85.5	39.42	17.29	28.29	15.66	21.97
YCL032W	STE50	8	11.59	80.73	6.14	14.64	27.58	12.35
YCL031C	RRP7	6.54	11.14	32.88	6.08	10.14	16.63	8.87
YCL030C	HIS4	33.35	30.68	51.95	22.43	26.61	31.49	25.23
YCL029C	BIK1	6.98	12.58	50.3	13.83	11.28	11.7	10
