	Gene	wt	00-06	06-12	12-18	18-24	24-30	30-36
YGR199W	PMT6	12.03	15.9	42.07	15.09	5.45	5.45	8.52
YGR200C	ELP2	10.02	10.58	46.25	18.97	16.16	19.23	10.01
YGR202C	PCT1	9.59	10.12	40.21	6.26	9.41	14.66	13.18
YGR203W	YGR203W	10.08	9.8	23.19	9.18	12.96	10.39	11.51
YGR204W	ADE3	44.96	41.95	54.72	12.38	8.43	12.76	19.57
YGR205W	YGR205W	21.35	19.24	82.57	10.54	13.8	12.38	14.45
YGR206W	MVB12	9.88	9.61	22.83	3.45	3.56	2.13	4.89
YGR207C	YGR207C	16.46	16.05	105.79	11.15	13.84	23.43	15.74
YGR208W	SER2	16.89	17.46	41.02	7.12	6.4	5.71	11.41
YGR209C	TRX2	27.19	29.45	18.83	7.83	3.98	2.93	10.46
YGR211W	ZPR1	11.54	14.53	61.67	6.11	3.62	19.31	36.52
YGR215W	RSM27	3.72	6.26	9.11	1.78	0.23	0.23	3.35
YGR216C	GPI1	11.08	12.62	75.57	24.26	10.7	6.22	11.97
YGR217W	CCH1	11.91	21.84	12.77	6.22	4.1	5.01	7.88
YGR218W	CRM1	18.31	22.3	28.65	6.07	19.91	18.95	15.34
YGR220C	MRPL9	10.31	10.08	40.97	12.73	5.35	3.08	6.64
YGR222W	PET54	5.9	10.92	16.81	2.35	5.07	6.47	6.65
YGR223C	HSV2	8.04	8.8	34.7	7.02	4.76	8.23	14.94
YGR227W	DIE2	9.22	7.14	77.15	34.31	11.52	2.4	11.33
YGR229C	SMI1	12.45	12.94	75.92	17.29	8.88	15.8	17.45
YGR230W	BNS1	8.74	13.8	20.77	0.23	0.23	3.4	8.81
YGR231C	PHB2	20.02	22.37	94.02	18.48	17.3	22.57	20.19
YGR232W	NAS6	33.27	40.39	90.47	16.38	26.06	13.84	16.99
YGR233C	PHO81	9.96	8.03	27.2	6.89	2.89	1.76	7.44
YGR234W	YHB1	32.79	35.92	157.54	32.47	45.53	69.69	78.41
YGR238C	KEL2	8.21	9.15	17.72	6.25	1.9	2.09	5.02
YGR239C	PEX21	5.87	5.85	26.9	13.72	4	2.95	7.98
YGR240C	PFK1	51.03	47.32	86.37	23.09	9.01	17.2	32.53
YGR241C	YAP1802	10.63	39.61	12.58	0.23	0.23	3.94	10.29
YGR244C	LSC2	56.84	112.28	57.09	19.27	13.88	22.44	27.15
YGR245C	SDA1	12.83	20.12	20.71	14.89	34.63	42.49	32.92
YGR246C	BRF1	14.2	21.41	73.88	29.44	21.68	25.64	23.81
YGR247W	CPD1	14.17	11.23	338.38	38.68	22.41	11.79	22.19
YGR252W	GCN5	9.27	9.35	39.91	9.19	10.03	13.93	12.66
YGR253C	PUP2	19.06	27.55	56.7	22.08	40.35	27.51	21.89
YGR254W	ENO1	85.46	99.34	100.33	32.19	8.54	14.78	65.09
YGR255C	COQ6	19.86	24.64	57.09	7.58	8.99	14.52	17.48
YGR257C	MTM1	9.6	10.45	50.82	15.85	11.24	7.94	7.58
YGR258C	RAD2	5.99	6.09	34.03	9.98	5.84	5.27	4.2
YGR260W	TNA1	24.25	24.87	170.19	42.21	18.78	17.83	18.81
YGR261C	APL6	20.27	17.39	42.96	15.99	5.14	5.42	8.86
YGR262C	BUD32	15.93	17.92	77.88	25.6	37.69	16.88	13.99
YGR263C	SAY1	18.58	19.1	54.61	25.89	16.83	6.45	13.7
YGR264C	MES1	36.12	38.77	79.98	22.67	13.57	18.37	31.05
YGR266W	YGR266W	12.76	18.32	49.1	11.74	9.75	17.63	17.83
YGR267C	FOL2	20.67	21.2	41	12.39	3.57	5.06	12.43
YGR268C	HUA1	7.08	9.87	44.3	4.62	11.35	21.98	23.51
YGR270W	YTA7	15.7	16.04	26.35	7.64	10.66	11.63	10.9
YGR271W	SLH1	8.68	15.25	14.86	8.66	17.54	8.14	5.53
YGR274C	TAF1	8.24	9.15	25.85	14.43	2.03	1.68	5.06
YGR275W	RTT102	9.85	15.23	34.93	20.22	30.91	9.62	5.73
