	Gene	wt	00-06	06-12	12-18	18-24	24-30	30-36
YHR195W	NVJ1	8.14	7.87	1.73	7.53	35.48	17.37	15.97
YHR196W	UTP9	53.9	44.01	8.13	19.8	19.01	12.17	9.28
YHR197W	RIX1	32.35	30.34	6.22	13.64	7.13	3.77	2.93
YHR198C	FMP22	8.48	7.97	2.56	16.07	27.07	13.42	15
YHR199C	FMP34	21.15	16.92	13.71	61.28	60.88	53.13	35.58
YHR200W	RPN10	29.51	32.19	16.71	33.5	25.28	24.35	33.88
YHR201C	PPX1	23.53	22.51	6.84	19.52	28.68	30.55	16.86
YHR204W	MNL1	23.75	22.44	15.28	767.48	1022.99	84.4	25.46
YHR205W	SCH9	21.11	25.45	7.73	20.91	11.22	9.51	16.61
YHR206W	SKN7	22.06	27.03	5.08	9.28	9.3	8.31	11.04
YHR207C	SET5	11.51	10.25	1.95	4.24	5.84	5.95	7.51
YHR208W	BAT1	70.92	72.85	42.05	54.25	81.68	44.85	21.45
YHR211W	FLO5	8.6	16.49	2.63	3.36	4.24	84.9	11.24
YHR215W	PHO12	9.81	5.98	1.46	2.38	3.51	3.88	7.26
YHR216W	IMD2	18.68	17.36	20.68	28.06	29.06	13.65	6.97
YIL164C	NIT1	10.08	8.01	2.08	3.13	6.64	7.43	9.68
YIL162W	SUC2	4.56	6.14	3.31	5.85	7.77	5.43	2.38
YIL159W	BNR1	7.11	11.9	1.3	2.07	3.41	8.02	6.91
YIL158W	YIL158W	32.43	21.79	5.64	8.77	6.47	2.87	1.22
YIL157C	COA1	10.11	11.5	3.44	5.65	12.5	16.85	11.78
YIL155C	GUT2	6.45	8.94	3.48	18.92	54.59	30.2	33.36
YIL154C	IMP2'	6.7	6.68	1.51	3.1	3.3	3.77	4.28
YIL153W	RRD1	14.35	14.27	6.09	17.17	23.46	17.63	16.14
YIL149C	MLP2	18.27	19.07	5.28	8.17	24.72	23.08	16.75
YIL147C	SLN1	14.26	14.94	5.2	9.15	9.3	9.23	12.33
YIL145C	PAN6	44.8	39.71	11.46	30.36	47.61	35.28	27.66
YIL144W	TID3	11.72	9.94	2.03	151.86	415.63	34.92	23.59
YIL143C	SSL2	14.75	13.18	3.6	9.98	17.94	16.56	17.97
YIL142W	CCT2	40.93	40.91	16.3	25.95	44.44	25.79	23.16
YIL140W	AXL2	12.42	19.47	5.59	32.32	24.33	38.58	35.21
YIL139C	REV7	5.13	5.24	2.17	11.23	23.87	15.61	13.31
YIL138C	TPM2	22.82	28.35	16.78	68.85	49.28	47.02	51.24
YIL137C	TMA108	9.02	10.75	4.74	13.8	14.32	14.59	11.04
YIL135C	VHS2	7.97	11.62	4.67	56.48	45.93	14.03	16.18
YIL134W	FLX1	6.53	7.01	2.27	5.82	6.23	5.87	3.83
YIL131C	FKH1	9.44	11.61	2.55	7.37	8.18	4.85	1.51
YIL130W	ASG1	29.42	37.09	4.66	22.72	382.95	45.77	27.88
YIL129C	TAO3	12.63	15.76	7.45	12.77	12.53	12.27	13.71
YIL128W	MET18	33.27	27.88	6.72	15.88	32.99	37.57	41.61
YIL126W	STH1	21.85	27.95	7.46	10.35	9.62	14	13.2
YIL125W	KGD1	5.11	6.79	4.92	8.6	7.15	5.76	8.98
YIL124W	AYR1	14.17	12.73	9.51	15.95	22.54	22.58	15.37
YIL123W	SIM1	30.98	35.99	31.33	50.77	54.74	32.31	24.77
