	Gene	wt	00-06	06-12	12-18	18-24	24-30	30-36
YAL063C	FLO9	8.55	16.3	2.59	3.3	4.13	84.9	10.3
YAL060W	BDH1	8.86	10.39	7.1	53.48	211.86	107.24	42.21
YAL059W	ECM1	27.5	24.86	7.32	15.65	11.24	8.72	4.62
YAL058W	CNE1	4.78	5.13	2.31	4.42	7.01	5.35	2.61
YAL056W	GPB2	11.39	13.05	2.62	5.88	10.98	9.91	13.2
YAL055W	PEX22	11.4	15.85	4.57	14.63	11.15	18.87	16.53
YAL054C	ACS1	2.89	3.01	1.01	19.63	20.75	6.54	4.75
YAL053W	FLC2	11.53	18.5	4.79	24.49	54.64	35.46	21.26
YAL051W	OAF1	16.95	18.09	3.13	4.76	13.51	25.13	16.2
YAL049C	YAL049C	16.94	18.17	8.55	15.04	23.12	33.9	25.84
YAL046C	YAL046C	5.98	6.14	8.8	16.86	80.31	21.53	17.32
YAL044C	GCV3	19.35	26.21	41.18	85.39	79.68	91.65	35.8
YAL043C	PTA1	7.79	9.27	5.92	21.51	22.69	21.24	10.93
YAL042W	ERV46	16.78	14.81	17.44	41.11	37.9	23.19	16.82
YAL041W	CDC24	20.26	19.76	3.99	18.49	62.73	42.22	22.77
YAL039C	CYC3	8.55	8.47	2.14	8.45	5.99	4.86	2.48
YAL038W	CDC19	165.59	124.01	173.15	294.23	21762.63	737.35	166.34
YAL036C	RBG1	47.58	50.07	19.22	28.41	36.18	17.25	10.44
YAL035W	FUN12	59.08	48.15	40.01	61.85	78.89	52.4	32.71
YAL034W-A	MTW1	9.07	8.74	1.08	1.34	3.8	70.66	5.76
YAL034C	FUN19	17.8	16.34	5.78	548.97	280.06	145.24	68.11
YAL033W	POP5	18.81	16.93	6.26	9.71	6.06	11.53	7.01
YAL032C	PRP45	8.33	7.35	2.29	5.64	254.64	360.35	27.22
YAL031C	GIP4	15.18	11.25	2.97	8.06	209.96	284.44	30.48
YAL030W	SNC1	8.99	7.94	9.14	18.06	25.14	50.96	26.28
YAL029C	MYO4	31.87	28.6	10.55	18.73	26.67	34.79	19.53
YAL027W	YAL027W	5.86	6.5	0.88	2.72	5.32	8.75	8.68
YAL026C	DRS2	8.44	10.31	4.8	10.83	9.22	8.14	8.79
YAL025C	MAK16	20.43	25.96	2.66	3.11	3.06	1.44	1.13
YAL024C	LTE1	8.5	11.22	1.29	1.15	0.65	9.91	5.8
YAL023C	PMT2	23.92	24.1	19.09	43.63	55.11	27.38	17.79
YAL022C	FUN26	13.67	13.43	5.45	7.77	9.24	6.2	3.81
YAL020C	ATS1	8.9	8.07	2.07	2.2	2.69	4.25	4.37
YAL019W	FUN30	11	11.73	2.77	4.8	4.6	3.86	6.58
YAL017W	PSK1	12.38	13.68	4.58	7.8	96.17	44.93	26.31
YAL016W	TPD3	33.45	28.37	11.39	32.49	83.47	50.94	32.16
YAL015C	NTG1	3.08	3.08	2.18	16.32	17.73	13.78	7.75
YAL014C	SYN8	33.61	31.03	10.04	33.18	56.12	39.95	37.63
YAL013W	DEP1	18.96	18.17	3.86	20.58	14.63	11.26	15.11
YAL012W	CYS3	48.86	50	31.76	61.17	88.93	83.26	27.39
YAL011W	SWC3	8.56	9.93	1.16	9.3	10.08	6.82	7.09
YAL010C	MDM10	7.28	7.11	2.07	53.38	27.07	17.04	12.36
YAL009W	SPO7	3.49	4.75	1.76	6.68	4.84	4.74	5.79
YAL008W	FUN14	2.17	3.23	1.59	5.03	3.41	3.56	4.54
YAL007C	ERP2	19.28	25.28	20.74	35.89	34.58	20.9	17.2
YAL005C	SSA1	9.49	10.34	59.9	242.95	13165.82	517.52	141.36
YAL003W	EFB1	144.28	128.82	172.46	308.68	940.04	470.56	144.36
YAL002W	VPS8	12.41	13.47	2.78	190.74	410.94	109.01	22.2
YAL001C	TFC3	12.37	11.3	4.14	23.75	13.4	14.16	15.69
YAR002W	NUP60	34.81	32.55	16.65	50.06	52.67	45.57	24
YAR002C-A	ERP1	13.54	17.24	28.9	44.99	37.91	38.97	16.66
YAR003W	SWD1	7.89	6.62	1.32	4.91	2.95	2.96	5.76
YAR007C	RFA1	14.89	17.45	6.07	15.45	29.48	25.5	25.16
YAR008W	SEN34	16.73	16.45	2.48	3.75	3.77	6.47	8.6
YAR014C	BUD14	17.04	14.43	4.1	5.77	7.28	7.31	7.53
YAR015W	ADE1	13.98	15.43	10.62	13.17	11.42	12.27	6.7
YAR018C	KIN3	12.48	10.62	1.61	2.35	1.98	0.73	1.84
YAR019C	CDC15	7.26	8.8	1.49	1.59	4.72	21.44	10.95
YAR027W	UIP3	16.16	13.85	5.74	23.81	46.39	56.48	36.74
YAR031W	PRM9	0.24	0.2	0.29	0.22	0.94	0.36	0.34
YAR033W	MST28	2.06	3.25	0.79	2.27	6.58	3.45	2.27
YAR042W	SWH1	7.82	9.79	1.94	1.95	1.18	3.1	3.96
YAR071W	PHO11	9.83	5.98	1.46	2.38	3.52	3.89	7.28
YBL105C	PKC1	12.32	12.34	3.18	4.18	3.57	5.66	9.66
YBL103C	RTG3	12.27	12.87	1.13	1.81	10.02	12.72	15.03
YBL102W	SFT2	17.66	17.51	11.2	14.73	16.85	23.28	21.01
YBL101C	ECM21	9.06	11.5	3.18	8.59	17.48	24.58	19.09
YBL099W	ATP1	60.35	48.7	56.2	108.99	231.32	124.33	57.31
YBL098W	BNA4	1.78	1.98	1.74	2.75	3.58	3.72	3.89
YBL093C	ROX3	18.65	21.33	14.26	103.56	69.41	50.15	28.93
YBL091C-A	SCS22	2.15	2.24	3.18	15.88	20.08	17.46	17.22
YBL091C	MAP2	16.92	15.22	16.25	31.81	30.04	24.47	14.19
YBL090W	MRP21	12.17	11.88	3.33	11.99	7.94	24.45	20.86
YBL089W	AVT5	13.96	13.12	3.39	8.61	12.86	15.54	11.91
YBL088C	TEL1	6.09	7.52	1.86	4.42	2.63	56.65	89.57
YBL085W	BOI1	20.79	23.89	5.27	9.77	53.4	29.37	22.81
YBL084C	CDC27	11.76	10.63	1.03	0.77	2.37	15.52	19.75
YBL082C	ALG3	13.62	14.83	5.91	9.97	10.49	8.61	8.75
YBL079W	NUP170	27.93	26.11	11.19	20.16	37.15	37.52	23.34
YBL078C	ATG8	132.19	10.95	2.15	5.36	23.97	139.11	923.63
YBL076C	ILS1	15.81	13.34	6.24	11.25	22.74	26.32	19.44
YBL075C	SSA3	12.27	14.88	2.76	24.15	41.56	58.82	33.77
YBL069W	AST1	8.44	10.7	3.7	12.58	5.81	5.89	6.38
YBL068W	PRS4	36.7	39.66	13.2	22.87	15.03	12.13	8.35
YBL067C	UBP13	6.82	6.77	3.32	4.56	3.83	3.79	5.48
YBL064C	PRX1	4.43	4.66	5.04	135.46	139.35	126.51	61.85
YBL063W	KIP1	7.12	8.55	1.88	4.41	3.56	5.74	6.95
YBL061C	SKT5	29.71	24.13	5.94	8.92	17.16	13.65	9.86
YBL059C-A	YBL059C-A	12.96	11.81	10.6	249.82	16.27	37.67	169.94
YBL058W	SHP1	20.34	19.3	13.94	44.59	50.45	48.72	30.4
YBL057C	PTH2	13.7	13.47	9.6	26.22	22.95	26.88	13.36
YBL056W	PTC3	16.7	15.2	6.08	15.78	18.89	18.63	18.36
YBL055C	YBL055C	11.11	9.54	2.26	4.09	4.06	1.39	0.82
YBL054W	YBL054W	26.18	26.62	1.98	3.08	2.56	1.14	0.5
YBL052C	SAS3	12.75	12.64	4.39	5.52	6.48	6.87	7.93
YBL051C	PIN4	18	20.34	7.23	17.99	70.5	33.8	18.15
YBL050W	SEC17	18.71	15.87	10.23	23.06	37.62	48.15	34.8
YBL047C	EDE1	16.47	19.33	12.6	22.46	39.54	43.86	25.57
YBL046W	PSY4	8.87	8.2	1.13	2.13	5.44	6.53	7.98
YBL045C	COR1	28.55	24.5	13.19	35.37	62.26	40.36	26.6
YBL042C	FUI1	25.04	19.08	5.55	31.4	44.63	14.56	8.93
YBL041W	PRE7	44.95	50.27	25.38	89.6	94.14	84.05	75.96
YBL040C	ERD2	19.7	20.44	14.02	29.17	41.74	30.54	24.88
YBL039C	URA7	41.84	41.01	19.17	26.4	28.5	7.04	1.28
YBL038W	MRPL16	31.52	32.48	14.25	87.54	43.45	64.9	43.6
YBL037W	APL3	7.8	9.83	2.11	4.71	7.18	10.27	5.91
YBL036C	YBL036C	21.47	23.52	7.08	14.74	18.74	23.69	19.82
YBL035C	POL12	12.14	12.35	2.71	2.47	4.23	3.74	3.16
YBL034C	STU1	11.77	15.24	3.06	7.79	16.57	44.02	15.06
YBL033C	RIB1	17.51	21.1	4.46	40.98	40.15	21.4	20.12
YBL032W	HEK2	15.61	18.13	16.48	39.04	34.52	14.98	12.8
YBL031W	SHE1	8.74	9.27	2.19	6.22	14.12	12.7	4.86
YBL030C	PET9	66.41	66.55	52.91	106.62	123.75	70.68	57.42
YBL026W	LSM2	75.9	74.42	58.82	98.88	67.07	96.23	62.22
YBL024W	NCL1	53.41	43.23	28.7	51.96	101.42	61.49	28.91
YBL023C	MCM2	21.52	19.96	5.46	5.38	4.84	7.63	10.96
YBL022C	PIM1	16.68	18.1	7.41	14.44	22.62	23.85	26.18
YBL021C	HAP3	20.11	15.96	1.91	5.72	6.98	10.18	20.31
YBL020W	RFT1	10.13	8	4.49	11.17	32.25	18.83	13.5
YBL018C	POP8	33.13	30.82	9	9.92	4.21	8.68	9.94
YBL017C	PEP1	21.07	17.64	13.18	21.34	31.99	34.61	17.96
YBL016W	FUS3	13.58	17.2	1.75	3.42	4.34	3.78	2.87
YBL015W	ACH1	8.32	7.35	2.63	8.63	20.43	11.47	7.71
YBL014C	RRN6	13.35	15.11	2.67	12.85	21.74	14.91	11.94
YBL011W	SCT1	19.51	17.49	6.33	19.35	92.75	49.46	26.83
YBL008W	HIR1	12.71	11.71	3.28	2.18	3.86	50	9.18
YBL007C	SLA1	12.4	14.06	10.12	23.92	34.08	19.22	18.88
YBL006C	LDB7	37.36	37.06	7.79	12.18	17.32	12.59	21.07
YBL005W	PDR3	4.17	3.41	1.21	6.78	6.78	7.99	11.24
YBL004W	UTP20	33.8	29.55	19.67	34.29	13.85	3.73	3.37
YBL003C	HTA2	176.49	149.2	116.21	159.75	394.21	1201.16	285.87
YBL002W	HTB2	167.14	161.14	132.83	220.82	318.6	692.86	309.79
YBL001C	ECM15	8.2	8.62	19	31.21	26.94	34.92	14.06
YBR001C	NTH2	7.12	7.97	2.4	6.62	12.11	15.45	16.91
YBR002C	RER2	36.8	30.64	2.68	8.04	16.84	7.64	16.3
YBR003W	COQ1	17.22	15.92	6.47	42.21	64.31	51.19	40.82
YBR004C	GPI18	14.26	18.45	3.83	22.44	635.34	82.26	23.21
YBR005W	RCR1	4.8	5.67	1.35	12.42	15.21	16.11	9.26
YBR006W	UGA2	2.56	2.13	0.91	5.05	8.22	13.54	12.23
YBR008C	FLR1	7.82	6.7	3.34	10.79	9.13	11.81	13.55
YBR009C	HHF1	266.89	250.12	168.16	287.82	7938.12	9131.66	453.09
YBR010W	HHT1	161.7	158.67	93.44	187.8	5001.43	6732.89	270.82
YBR011C	IPP1	54.93	53.44	115.14	209.86	460.54	328.76	95.57
YBR014C	GRX6	9.98	15.98	5.23	14.87	27.9	59.85	43.13
YBR015C	MNN2	24.29	19.7	11.35	20.66	27.59	15.16	17.31
YBR016W	YBR016W	51.01	82.35	40	96.1	3014.79	3503.87	155.69
YBR017C	KAP104	30.75	28.53	12.82	20.02	45.87	41.45	24.77
YBR021W	FUR4	7.36	7.23	1.63	130.71	57.36	21.93	16.17
YBR022W	POA1	8.07	8.71	2.11	2.34	3.73	7.15	7.36
YBR023C	CHS3	22.22	21.63	8.51	16.47	14.63	13.92	11.44
YBR024W	SCO2	7.13	6.94	1.95	6.86	17.11	19.03	12.76
YBR025C	OLA1	66.51	53.42	61.32	116.52	144.61	94.23	54.95
YBR026C	ETR1	6.28	7.43	5.39	10.85	11.68	10.2	7.22
YBR029C	CDS1	35.9	29.32	7.35	16.14	15.75	8.68	10.01
YBR030W	YBR030W	13.24	9.42	1.94	7.05	7.13	5.61	3.72
YBR034C	HMT1	48.37	46.34	7.73	12.47	11.81	7.34	8.4
YBR035C	PDX3	10.25	11.73	12.81	34.01	31.44	30.03	17.83
YBR036C	CSG2	24.87	24.66	8.5	17.22	30.47	24.26	17.67
YBR037C	SCO1	6.83	5.93	1.87	14.95	11.37	13.79	11.34
YBR038W	CHS2	14.12	14.67	3.99	22.76	22.28	10.32	7.07
YBR039W	ATP3	31.57	30.72	16.56	32.3	43.08	42.78	34.04
YBR041W	FAT1	10.68	10.41	5.76	6.49	18.8	20.03	14.26
YBR042C	CST26	11.21	13.39	4.35	6.61	6.92	8.27	10.74
YBR043C	QDR3	16.41	12.01	3.02	5.81	8.26	9.85	9.23
YBR044C	TCM62	9.85	8.77	3.02	12.07	31.25	15.09	13.86
YBR046C	ZTA1	1.46	2.71	1.63	4.07	5.47	3.48	6.35
YBR049C	REB1	13.76	13.14	3.69	14.38	10.82	5.46	7.6
YBR052C	RFS1	15.07	14.53	19.49	65.74	189.91	165.04	67.56
YBR055C	PRP6	16.37	17.71	5.13	12.38	21.44	18.95	12.89
YBR057C	MUM2	11.29	9.75	2.2	4.36	16.65	14.05	12.34
YBR058C	UBP14	5.11	6.23	1.51	2.85	4.12	3.43	3.32
YBR058C-A	TSC3	24.18	25.35	20.29	38.42	78.27	89.79	47.63
YBR059C	AKL1	9.58	10.06	5.49	9.58	20.58	22.48	12.4
YBR060C	ORC2	17.05	14.81	4.43	8.11	19.49	29.28	14.76
YBR061C	TRM7	16.85	19.76	2.85	3.83	3.67	3.46	3.75
YBR066C	NRG2	8.6	9.51	2.27	11.04	292.99	504.29	23.15
YBR067C	TIP1	77.67	66.03	52.13	94.67	123.21	89.52	36.68
YBR068C	BAP2	78.9	60.41	19.5	24.53	93.69	90.5	64.79
YBR069C	TAT1	45.1	40.79	11.9	17.94	19.93	14.92	14.18
YBR070C	ALG14	7.42	9.01	3.93	12.39	19.63	28	12.17
YBR072W	HSP26	0.19	0.39	1.15	263.56	160.86	179.45	56.09
YBR073W	RDH54	17.36	20.79	6.2	10.08	21.71	30.76	15.39
YBR077C	SLM4	34.65	33.94	7.77	25.97	17.97	24.35	34.24
YBR078W	ECM33	74	59.43	62.76	109.26	164.56	77.35	48.15
YBR079C	RPG1	52.06	49.17	28.83	46.74	75.8	52.44	20.36
YBR080C	SEC18	16.21	14.56	7.91	13.33	17.09	19.01	17.99
YBR081C	SPT7	14.14	16.69	3.97	12.62	22.21	29.63	20.36
YBR082C	UBC4	94.64	91.3	88.04	195.8	276.61	319.02	120.89
YBR083W	TEC1	51.14	42.97	10.04	17.68	24.35	21.71	16.87
YBR084W	MIS1	18.67	18.76	19.77	31.76	37.11	16.5	5.73
YBR085W	AAC3	3.6	3.17	1.44	2.52	5.74	3.46	1.69
YBR086C	IST2	27.1	30.16	22.62	37.96	59.03	51.71	31.27
YBR087W	RFC5	14.1	15.24	3.88	7.32	10.46	11.8	9.38
YBR088C	POL30	60.96	69.32	38.32	96.65	252.65	334.46	102.06
YBR092C	PHO3	13.52	13.57	2.86	5.55	4.42	5.07	2.88
YBR093C	PHO5	2.48	1.66	0.64	1.85	2.19	3.88	8.93
YBR094W	PBY1	13.67	14.82	5.61	10.46	16.89	15.57	8.48
YBR095C	RXT2	14.83	10.02	0.97	2.19	7.23	9.76	13.5
YBR097W	VPS15	10.04	12.28	2.88	3.34	4.3	7.86	10.08
YBR101C	FES1	62.3	49.84	22.03	354.6	1070.48	365.74	121.16
YBR102C	EXO84	7.07	7.21	1.59	2.77	3.55	5.22	5.01
YBR103W	SIF2	14.68	17.05	2.41	5.28	7.41	8.58	10.46
YBR104W	YMC2	35.36	35.82	5.55	9.04	5.3	2.44	2.15
YBR105C	VID24	11.55	14.42	5.48	747.69	78.51	45.16	21.54
YBR106W	PHO88	63.33	58.73	92.77	133.97	84.89	67.79	44.11
YBR107C	IML3	6.27	5.22	1.8	4.73	6.21	3.72	7.53
YBR109C	CMD1	43.31	46.3	42.16	92.95	129.59	125.8	54.29
YBR110W	ALG1	8.23	8.2	3.58	13.49	18.62	16.87	11.91
YBR111C	YSA1	19.64	16.29	20.89	38.23	42.8	50.77	34.23
YBR111W-A	SUS1	12.72	11.83	5.68	11.76	305.55	87.67	33.63
YBR112C	CYC8	18.06	17.88	4.31	14.33	36.7	21.21	17.88
YBR115C	LYS2	17.79	20.87	11.82	22.05	29.58	21.89	10.77
YBR118W	TEF2	191.37	130.17	189.58	317.67	22119.18	857.05	193.22
YBR119W	MUD1	23.63	19.88	6.45	16.79	44.45	33.61	29
YBR120C	CBP6	12.81	17.58	2.73	12.57	156.92	295.02	264.32
YBR121C	GRS1	46.86	39.03	42.2	67.34	107.32	72.63	32.49
YBR122C	MRPL36	51.46	47.55	22.54	115.38	1985.88	2402.58	95.04
YBR123C	TFC1	18.77	17.85	5.71	17.14	33.36	35.84	18.8
YBR125C	PTC4	13.43	13.65	2.62	6.89	17.49	14.35	16.7
YBR126C	TPS1	16	17.4	15.08	170.64	859.77	309	106.95
YBR127C	VMA2	35.43	33.51	50.21	77.98	129.17	76.76	36.91
YBR129C	OPY1	7.96	8.47	1.67	5.36	226.76	16.71	15.74
YBR130C	SHE3	23.85	21.83	5.92	15.26	39.27	39.3	22.43
YBR131W	CCZ1	11.64	10.18	2.13	32.7	102.19	37.06	26.55
YBR132C	AGP2	4.94	8.35	2.06	2.52	4.45	9.58	17.68
YBR133C	HSL7	11.94	11.11	3.57	5.37	5.4	7.03	6.06
YBR135W	CKS1	19.67	33.44	14.41	23.55	48.69	40.17	23.99
YBR136W	MEC1	5.67	6.37	2.06	2.72	1.78	6.17	4.49
YBR139W	YBR139W	8.37	9.27	5.98	10.11	26.2	40.55	27.26
YBR140C	IRA1	17.07	18.55	11.55	21.88	7.75	11.93	15.19
YBR142W	MAK5	39.81	37.65	17.44	22.93	27.75	15.81	6.75
YBR143C	SUP45	48.93	42.77	24.44	56.74	70.09	55.88	29.42
YBR145W	ADH5	19.72	18.48	6.1	21.82	23.42	17.71	12.96
YBR146W	MRPS9	28.5	29.56	9.77	37.88	61.6	50.76	33.94
YBR147W	YBR147W	0.65	1.03	0.76	59.23	146.92	9.85	5.83
YBR149W	ARA1	7.73	9.29	11.4	28.82	47.5	52.59	36.05
YBR150C	TBS1	18.05	16.65	2.37	166.58	81.3	87.88	32.58
YBR151W	APD1	13.36	14.17	9.13	39.24	35.13	39.61	36.16
YBR153W	RIB7	21.41	17.13	2.23	20.13	28.63	22.08	32.42
YBR154C	RPB5	55.93	63.77	17.95	36.93	46.8	32.85	21.54
YBR155W	CNS1	14.2	16.08	3.86	7.47	5.2	4.4	3.06
YBR157C	ICS2	9.79	9.67	1.52	19.28	62.2	9.32	14.74
YBR158W	AMN1	104.19	73.34	18.94	23.74	61.29	54.76	41.15
YBR159W	IFA38	19.5	21.35	14.91	29.69	43.73	33.55	22.81
YBR160W	CDC28	17.59	20.45	4.95	21.73	34.95	34.55	23.67
YBR161W	CSH1	13.96	11.73	4.47	414.02	1842.88	107.28	43.21
YBR162C	TOS1	59.06	57.86	59.29	109.91	184.16	86.04	60.76
YBR162W-A	YSY6	47.78	38.53	46.78	174.3	117.78	159.74	71.36
YBR163W	DEM1	16.54	12	4.49	26.74	39.68	30.97	21.15
YBR164C	ARL1	31.71	31.91	17.81	66.14	56.97	92.37	49.25
YBR165W	UBS1	12.05	8.41	6.14	310.53	67.24	48.11	29.69
YBR166C	TYR1	19.91	22.4	8.27	23.46	45.78	42.21	20.48
YBR167C	POP7	13.91	15.22	5.62	312.59	404.82	108.6	59.4
YBR168W	PEX32	6.85	7.29	2.24	16.21	10.61	7.2	11.92
YBR169C	SSE2	2.16	2.23	2.29	370.04	2402.14	117.78	45.98
YBR170C	NPL4	13.27	14.31	2.87	7.7	16.42	13.68	19.36
YBR171W	SEC66	13.38	17.7	5.58	15.99	18.2	15.67	15.46
YBR172C	SMY2	31.6	33.57	4.44	203.87	429.15	46	32.52
YBR173C	UMP1	27.79	34.17	23.84	81.62	49.11	53.36	44.52
YBR175W	SWD3	12.32	9.87	3.98	20.11	17.43	19.76	17.76
YBR176W	ECM31	7.88	9.77	1.97	7.52	8.5	8.16	8.59
YBR177C	EHT1	19.67	18.95	8.1	21.96	30.38	28.6	19.72
YBR179C	FZO1	6.68	6.03	1.53	57.27	9.06	8.62	9.77
YBR185C	MBA1	16.24	17.43	2.04	7.22	10.78	16.41	15.02
YBR188C	NTC20	18.12	17.7	12.38	348.71	20.96	39.47	21.92
YBR192W	RIM2	15.16	14.48	2.82	15.07	10.46	6.44	14.2
YBR193C	MED8	8.86	9.01	3.24	16.39	8.42	6	8.53
YBR195C	MSI1	19.86	18.94	3.16	15.23	34.55	44.52	17.21
YBR196C	PGI1	97.25	70.8	90.38	155.57	581.12	228.16	94.43
YBR198C	TAF5	33.05	31.08	6.53	23.52	44.23	33.47	26.85
YBR199W	KTR4	26.66	24.65	12.44	48.07	109.32	81.82	43.98
YBR200W	BEM1	9.61	8.13	2.12	3.22	6.61	6.58	7.62
YBR201W	DER1	13.67	13.06	2.09	3.25	4.15	13.09	9.41
YBR202W	MCM7	25.64	25.1	4.69	7.6	9.19	5.4	4.13
YBR205W	KTR3	11.07	11.91	9.09	12.79	18.3	12.59	6.94
YBR207W	FTH1	18.25	16.35	3.23	3.6	6.88	7.54	17.95
YBR210W	ERV15	14.69	16.73	13.2	35.56	30.08	40.45	28.45
YBR211C	AME1	11.33	11.05	4.02	333.4	108.41	57.48	35.72
YBR212W	NGR1	9.2	9.92	3.4	170.22	77.13	41.25	25.83
YBR213W	MET8	8.76	6.57	1.14	1.09	4.22	4.67	4.71
YBR214W	SDS24	2.63	4.79	1.37	26.67	137.53	52.46	29.1
YBR215W	HPC2	13.52	13.02	2.13	2.51	4.94	6.78	7.94
YBR216C	YBP1	5.85	4.41	0.66	0.82	1.12	2.28	3.07
YBR217W	ATG12	9.72	7.79	1.18	1.09	4	8.04	8.59
YBR218C	PYC2	27.7	25.06	27.58	56.45	79.7	42.83	18.4
YBR221C	PDB1	30.96	31.41	39.94	66.15	80.2	64.95	34.48
YBR222C	PCS60	7.71	8.56	3.75	8.05	26.33	29.65	20.34
YBR227C	MCX1	11.41	13.53	2.6	3.55	6.06	9.03	10.7
YBR228W	SLX1	12.84	11.88	1.83	2.89	6.64	19.46	15.78
YBR229C	ROT2	6.79	8.57	7.61	16.62	30.01	20.5	15.7
YBR230C	OM14	12.34	15.36	13.33	1065.95	2503.83	1274.88	124.91
YBR231C	SWC5	3.28	4.05	0.62	1.25	2.88	2.62	3.36
YBR233W	PBP2	5.04	4.85	1.27	2.43	4.02	5.04	4.74
YBR234C	ARC40	14.24	14.42	11.78	17.71	38.04	38.5	24.56
YBR236C	ABD1	14.86	16.18	3.47	8.04	12.84	15.37	16.59
YBR237W	PRP5	11.7	9.75	1.65	4.46	15.23	17.38	18.13
YBR243C	ALG7	9.87	10.92	3.81	7.04	4.63	3.91	4.53
YBR244W	GPX2	18.83	21.42	7.49	11.23	10.22	15.78	15.62
YBR245C	ISW1	17.62	20.53	7.26	14.82	12.66	13.58	10.36
YBR247C	ENP1	26.78	28.8	4.42	6.36	4.8	1.49	1.22
YBR248C	HIS7	27.72	27.45	8.34	18.46	16.79	16.46	10.23
YBR249C	ARO4	25.95	31.31	18.72	41.79	28.49	24.23	8.33
YBR251W	MRPS5	9.21	11.15	3.21	13.72	10.26	11.63	8.79
YBR252W	DUT1	21.71	23.12	18.5	60.51	81.08	59.67	32
YBR253W	SRB6	24.64	22.41	20.32	748.07	1167.51	253.99	55.76
YBR254C	TRS20	10.07	12.69	3.38	9.42	7.71	8.82	5.46
YBR255W	YBR255W	7.93	7.77	1.85	19.34	22.95	17.08	10.09
YBR256C	RIB5	21.88	24.16	11.59	30.82	22.56	28.66	23.72
YBR257W	POP4	13.92	15.3	3.06	47.9	459.3	20.19	15.15
YBR260C	RGD1	10.26	10.04	3.96	25.77	25.55	18.11	14.48
YBR261C	YBR261C	13.86	15.54	7.55	16.65	10.7	7.33	6.09
YBR262C	FMP51	26.31	29.63	9.74	339.89	412.07	481.64	455.67
YBR263W	SHM1	25.21	27.57	39.44	95.16	106.8	62.19	21.36
YBR264C	YPT10	13.36	13.31	7.57	40.02	28.05	21.01	16.81
YBR265W	TSC10	29.79	30.12	15.01	57.62	36.14	27.2	17.5
YBR267W	REI1	15.84	15.69	4.29	7.52	6.04	4.9	3.95
YBR268W	MRPL37	20.5	20.45	9.7	12.32	10.84	21.11	32.83
YBR272C	HSM3	5.55	5.94	1.99	6.1	14.4	13.34	9.85
YBR273C	UBX7	7.47	7.52	2.66	4.99	10.18	9.16	8.96
YBR274W	CHK1	13.12	12.06	4.21	13.23	20.7	21.17	19.79
YBR275C	RIF1	5.17	7.21	2.17	3.02	2.49	2.99	2.24
YBR276C	PPS1	15.93	15.1	8.4	22.71	58.16	37.53	22.89
YBR278W	DPB3	6.73	7.71	2.17	6.18	7.29	7.68	8.24
YBR279W	PAF1	33.66	28.99	6.87	24.34	88.28	49.72	36.82
YBR281C	DUG2	8.78	8.84	2.55	6.68	21.22	13.5	10.31
YBR282W	MRPL27	27.89	28.01	8.26	41.64	168.12	716.76	44.63
YBR283C	SSH1	48.87	43.47	36.66	79.3	142.01	90.9	40.39
YBR286W	APE3	31.34	30.95	46.58	80.93	274.96	204.28	67.22
YBR288C	APM3	18.7	18.51	6.23	8.13	23.01	33.55	16.49
YBR289W	SNF5	12.14	16.06	1.75	2.2	9.8	136.66	7.28
YBR290W	BSD2	22.3	19.56	4.06	39.16	73.98	61.31	41.31
YBR291C	CTP1	10.22	10.04	1.91	11.03	8.38	13.09	7.63
YBR293W	VBA2	6.4	5.5	2.1	17.06	25.97	14.4	11.34
YBR295W	PCA1	6.44	5.75	1.65	4.26	13.29	16.55	13.76
YBR302C	COS2	50.4	39.34	35.32	64.59	188.97	232.39	91.74
YCL063W	VAC17	10.1	12.62	1.27	1.24	1.03	3.28	3.32
YCL061C	MRC1	14.17	14.07	4.26	7.42	7.72	21.1	18.4
YCL059C	KRR1	14.15	15.01	4.54	7.5	4.76	3.13	0.78
YCL057W	PRD1	13.64	16.08	11.02	24.32	27.84	22.85	27.78
YCL055W	KAR4	12.31	11.02	3.06	10.53	8.67	8.64	11.31
YCL054W	SPB1	40.25	35.17	7.43	9.08	7.58	4.46	3.3
YCL052C	PBN1	8.88	8.9	3.32	4.3	6.45	10.18	11.74
YCL051W	LRE1	9.24	8.99	1.65	2.32	13.78	15.12	18.96
YCL050C	APA1	31.22	34.77	22.98	48.26	67.22	61.29	30.53
YCL045C	YCL045C	28.37	29.68	21.94	58.27	159.25	85.51	34.37
YCL044C	MGR1	15.71	21.14	3.6	30.11	33.76	17.63	19.13
YCL043C	PDI1	49.2	43.77	54.13	118.05	283.77	140.48	73.85
YCL040W	GLK1	4.35	5.65	14.1	161.9	870.13	270.32	118.42
YCL039W	GID7	6.35	7.86	2.33	13.59	24.53	27.95	21.17
YCL038C	ATG22	2.86	3.11	1.33	1.55	2.61	3.94	4.36
YCL037C	SRO9	55.28	55.69	32.54	43.96	48.84	11	9.73
YCL036W	GFD2	23.1	22.28	2.27	2.89	2.09	0.58	0.19
YCL035C	GRX1	15.56	15.49	16.86	95.39	101.73	156.29	52.83
YCL034W	LSB5	12.39	10.28	6.64	18.09	18.59	8.48	10.94
YCL033C	YCL033C	2.08	2.6	4.42	6.32	5.26	9.43	4.68
YCL032W	STE50	3.73	3.62	0.6	4.7	4.6	2.99	4.97
YCL031C	RRP7	26.44	26.25	5.26	22.62	23.7	16.45	19.87
YCL030C	HIS4	30.87	28.94	18.76	26.42	22.5	15.38	11.81
